"entidad_res","municipio","AVG(edad)"
"Nuevo Leon","Abasolo","32.0224"
"COAHUILA DE ZARAGOZA","Acu�a","39.3896"
"Nuevo Leon","Agualeguas","31.0953"
"COAHUILA DE ZARAGOZA","Allende","40.4176"
"Nuevo Leon","Apodaca","38.5644"
"Nuevo Leon","Aramberri","37.9301"
"COAHUILA DE ZARAGOZA","Arteaga","40.2308"
"Nuevo Leon","Bustamante","40.2914"
"COAHUILA DE ZARAGOZA","Candela","41.4209"
"COAHUILA DE ZARAGOZA","Casta�os","38.7213"
"Nuevo Leon","Cerralvo","42.3084"
"Nuevo Leon","China","43.2738"
"Nuevo Leon","Doctor arroyo","44.0455"
"Nuevo Leon","Doctor coss","42.3197"
"Nuevo Leon","Doctor Gonzalez","44.9065"
"Nuevo Leon","El carmen","40.7027"
"COAHUILA DE ZARAGOZA","Escobedo","39.3789"
"COAHUILA DE ZARAGOZA","Fco I. Madero","73.0000"
"COAHUILA DE ZARAGOZA","Frontera","41.2275"
"Nuevo Leon","Garcia","42.3652"
"COAHUILA DE ZARAGOZA","General Cepeda","40.1136"
"COAHUILA DE ZARAGOZA","Guerrero","38.7451"
"COAHUILA DE ZARAGOZA","Hidalgo","39.3391"
"COAHUILA DE ZARAGOZA","Jimenez","39.7377"
"COAHUILA DE ZARAGOZA","Juarez","46.1471"
"COAHUILA DE ZARAGOZA","Lamadrid","42.8212"
"Nuevo Leon","Los aldamas","38.6708"
"COAHUILA DE ZARAGOZA","Matamoros","42.0000"
"COAHUILA DE ZARAGOZA","Monclova","32.0500"
"COAHUILA DE ZARAGOZA","Morelos","42.7248"
"COAHUILA DE ZARAGOZA","Muzquiz","28.0000"
"COAHUILA DE ZARAGOZA","Nadadores","40.5756"
"COAHUILA DE ZARAGOZA","Nava","44.8622"
"COAHUILA DE ZARAGOZA","Ocampo","43.9478"
"COAHUILA DE ZARAGOZA","Parras","38.9286"
"COAHUILA DE ZARAGOZA","Piedras Negras","45.4615"
"COAHUILA DE ZARAGOZA","Ramos Arizpe","42.6224"
"COAHUILA DE ZARAGOZA","Sabinas","33.5562"
"COAHUILA DE ZARAGOZA","Sacramento","41.2344"
"COAHUILA DE ZARAGOZA","Saltillo","42.1607"
"COAHUILA DE ZARAGOZA","San juan de Sabinas","33.6364"
"COAHUILA DE ZARAGOZA","San Pedro","44.0000"
"Tamaulipas","Tampico","43.5492"
"COAHUILA DE ZARAGOZA","Torreon","26.0833"
"Tamaulipas","Tula","40.5208"
"Tamaulipas","Vallehermoso","43.3142"
"Tamaulipas","Victoria","38.7037"
"Tamaulipas","Villagran","43.6667"
"Tamaulipas","Xicotencatl","35.5782"
"COAHUILA DE ZARAGOZA","Zaragoza","36.9032"
