"COUNT(*)","entidad_res","genero","tipo_paciente"
"2336","COAHUILA DE ZARAGOZA","hombre","Ambulatorio"
"3734","Nuevo Leon","hombre","Ambulatorio"
"3347","Tamaulipas","hombre","Ambulatorio"
"384","COAHUILA DE ZARAGOZA","hombre","Hospitalizado"
"863","Nuevo Leon","hombre","Hospitalizado"
"793","Tamaulipas","hombre","Hospitalizado"
"2890","COAHUILA DE ZARAGOZA","mujer","Ambulatorio"
"4245","Nuevo Leon","mujer","Ambulatorio"
"3417","Tamaulipas","mujer","Ambulatorio"
"302","COAHUILA DE ZARAGOZA","mujer","Hospitalizado"
"642","Nuevo Leon","mujer","Hospitalizado"
"628","Tamaulipas","mujer","Hospitalizado"
